Date,Close,High,Low,Open,Volume,ema20
2025-04-03 10:45:00-04:00,540.91,542.25,540.76,542.14,865188.0,547.2225044488213
2025-04-03 10:50:00-04:00,540.65,541.28,540.1,540.88,1255271.0,546.5965516441717
2025-04-03 10:55:00-04:00,540.19,540.97,540.15,540.64,765731.0,545.9864038685363
2025-04-03 11:00:00-04:00,540.7,540.77,539.98,540.2,970626.0,545.4829368334376
2025-04-03 11:05:00-04:00,540.17,540.77,539.58,540.69,944352.0,544.9769428493007
2025-04-03 11:10:00-04:00,541.46,542.19,540.1,540.19,1055297.0,544.641995911272
2025-04-03 11:15:00-04:00,542.23,542.47,541.42,541.44,971794.0,544.4122820149604
2025-04-03 11:20:00-04:00,542.0,542.39,541.19,542.21,787903.0,544.1825408706784
2025-04-03 11:25:00-04:00,541.73,542.77,541.71,542.0,618018.0,543.9489655496614
2025-04-03 11:30:00-04:00,542.76,543.07,541.64,541.78,755310.0,543.8357307354079
2025-04-03 11:35:00-04:00,543.46,543.54,541.93,542.78,822266.0,543.7999468558452
2025-04-03 11:40:00-04:00,543.9,544.31,543.45,543.46,973147.0,543.8094757267171
2025-04-03 11:45:00-04:00,543.12,544.18,542.68,543.92,705980.0,543.7438113717917
2025-04-03 11:50:00-04:00,543.4,543.43,542.09,543.11,650187.0,543.711067431621
2025-04-03 11:55:00-04:00,543.51,544.42,543.2,543.38,542356.0,543.691918152419
2025-04-03 12:00:00-04:00,543.93,544.88,543.39,543.51,575760.0,543.7145926140934
2025-04-03 12:05:00-04:00,543.7,544.67,543.63,543.95,555608.0,543.7132028413225
2025-04-03 12:10:00-04:00,545.05,545.26,543.62,543.74,720927.0,543.8405168564346
2025-04-03 12:15:00-04:00,545.59,545.7,544.79,545.02,597429.0,544.0071342986789
2025-04-03 12:20:00-04:00,545.64,545.96,545.13,545.59,696415.0,544.1626453178524
2025-04-03 12:25:00-04:00,545.92,545.93,544.57,545.67,606535.0,544.3300124304378
2025-04-03 12:30:00-04:00,544.22,546.36,544.18,545.94,765368.0,544.3195350561105
2025-04-03 12:35:00-04:00,544.32,544.62,543.96,544.21,485868.0,544.3195793364808
2025-04-03 12:40:00-04:00,544.56,545.73,544.26,544.26,587626.0,544.3424765425303
2025-04-03 12:45:00-04:00,544.97,544.97,544.1,544.57,383638.0,544.4022406813369
2025-04-03 12:50:00-04:00,543.38,544.99,543.28,544.93,492393.0,544.3048844259715
2025-04-03 12:55:00-04:00,543.44,543.67,542.98,543.36,488087.0,544.2225144806409
2025-04-03 13:00:00-04:00,543.52,544.18,543.19,543.46,464266.0,544.1556083396275
2025-04-03 13:05:00-04:00,543.32,544.37,543.28,543.46,353301.0,544.0760265929963
2025-04-03 13:10:00-04:00,543.47,543.93,542.89,543.32,387015.0,544.0183097746157
2025-04-03 13:15:00-04:00,543.09,543.64,542.91,543.46,328355.0,543.9298993198904
2025-04-03 13:20:00-04:00,542.43,543.57,541.92,543.11,499831.0,543.7870517656152
2025-04-03 13:25:00-04:00,542.26,542.7,542.04,542.44,379681.0,543.641618264128
2025-04-03 13:30:00-04:00,542.62,542.65,541.91,542.24,368388.0,543.5443212865921
2025-04-03 13:35:00-04:00,543.12,543.52,542.57,542.63,573206.0,543.503909735488
2025-04-03 13:40:00-04:00,543.46,543.58,542.85,543.11,361513.0,543.4997278559177
2025-04-03 13:45:00-04:00,542.93,543.79,542.79,543.45,457687.0,543.445468060116
2025-04-03 13:50:00-04:00,542.65,543.04,542.3,542.94,361146.0,543.3697091972479
2025-04-03 13:55:00-04:00,541.85,542.66,541.77,542.65,334271.0,543.2249749879861
2025-04-03 14:00:00-04:00,541.78,542.53,541.74,541.84,427914.0,543.0873583224636
2025-04-03 14:05:00-04:00,541.55,541.88,541.25,541.81,403996.0,542.9409432441338
2025-04-03 14:10:00-04:00,540.78,541.66,540.7,541.55,525976.0,542.7351391256449
2025-04-03 14:15:00-04:00,540.66,541.12,540.39,540.77,488637.0,542.5375068279644
2025-04-03 14:20:00-04:00,540.65,541.4,540.36,540.68,473591.0,542.3577442729202
2025-04-03 14:25:00-04:00,540.79,541.01,540.42,540.68,661860.0,542.2084352945468
2025-04-03 14:30:00-04:00,540.42,541.53,539.94,540.77,1078999.0,542.0381081236376
2025-04-03 14:35:00-04:00,541.22,541.47,540.28,540.38,544115.0,541.9601930642435
2025-04-03 14:40:00-04:00,541.95,542.09,541.05,541.22,572965.0,541.9592222962203
2025-04-03 14:45:00-04:00,542.19,542.24,541.31,541.97,456461.0,541.9812011251518
2025-04-03 14:50:00-04:00,541.73,542.35,541.54,542.18,463346.0,541.9572772084706
2025-04-03 14:55:00-04:00,541.79,542.03,541.15,541.71,661012.0,541.9413460457591
2025-04-03 15:00:00-04:00,541.46,541.95,541.21,541.77,558696.0,541.8955035652107
2025-04-03 15:05:00-04:00,541.43,542.0,541.35,541.41,456059.0,541.8511698923335
2025-04-03 15:10:00-04:00,540.9,541.75,540.78,541.41,771511.0,541.7605822835399
2025-04-03 15:15:00-04:00,539.56,540.95,538.55,540.94,1527123.0,541.5510030184408
2025-04-03 15:20:00-04:00,539.43,540.08,538.82,539.57,1072507.0,541.3490027309703
2025-04-03 15:25:00-04:00,539.03,539.93,538.79,539.41,883891.0,541.1281453280208
2025-04-03 15:30:00-04:00,538.35,539.26,538.12,539.04,1386585.0,540.8635600586855
2025-04-03 15:35:00-04:00,538.64,538.78,538.01,538.32,1074687.0,540.6517924340487
2025-04-03 15:40:00-04:00,539.45,539.63,538.37,538.65,1258119.0,540.5373360117584
2025-04-03 15:45:00-04:00,538.05,539.57,537.76,539.46,1754206.0,540.3004468677814
2025-04-03 15:50:00-04:00,538.41,538.53,537.57,538.06,2388959.0,540.120404308945
2025-04-03 15:55:00-04:00,537.64,538.56,536.9,538.42,7762978.0,539.8841753271407
2025-04-04 09:30:00-04:00,523.83,525.87,522.33,523.73,3943194.0,538.3552062483654
2025-04-04 09:35:00-04:00,521.67,524.21,520.82,523.85,2506452.0,536.7661389866164
2025-04-04 09:40:00-04:00,520.22,521.85,519.15,521.64,2722625.0,535.1903162259863
2025-04-04 09:45:00-04:00,521.24,523.13,519.58,520.22,2022732.0,533.8617146806542
2025-04-04 09:50:00-04:00,521.32,523.34,521.07,521.22,1537232.0,532.667265663449
2025-04-04 09:55:00-04:00,523.18,524.49,520.59,521.31,1743437.0,531.7637165526444
2025-04-04 10:00:00-04:00,521.97,523.26,521.41,523.18,1191963.0,530.8309816428688
2025-04-04 10:05:00-04:00,519.78,522.52,519.72,521.98,1457859.0,529.7785072006908
2025-04-04 10:10:00-04:00,518.48,519.82,518.0,519.77,1449914.0,528.7024588958631
2025-04-04 10:15:00-04:00,518.64,519.11,517.1,518.42,1661918.0,527.7441294772094
2025-04-04 10:20:00-04:00,517.76,519.49,517.19,518.49,1240942.0,526.7932600031895
2025-04-04 10:25:00-04:00,516.29,518.06,516.24,517.73,1339632.0,525.7929495266952
2025-04-04 10:30:00-04:00,515.68,517.53,515.61,516.26,1774738.0,524.8298114765338
2025-04-04 10:35:00-04:00,516.05,516.27,514.61,515.66,1835336.0,523.9936389549591
2025-04-04 10:40:00-04:00,514.61,516.17,514.41,516.06,1490239.0,523.0999590544868
2025-04-04 10:45:00-04:00,511.37,514.73,511.37,514.62,2141774.0,521.9828200969166
2025-04-04 10:50:00-04:00,514.27,515.03,510.05,511.41,3424777.0,521.2482658019721
2025-04-04 10:55:00-04:00,515.52,516.39,513.39,514.26,1769621.0,520.7027166779748
2025-04-04 11:00:00-04:00,520.35,520.84,514.79,515.47,4174010.0,520.6691246134058
2025-04-04 11:05:00-04:00,518.59,520.81,517.29,520.35,2447187.0,520.4711127454624
2025-04-04 11:10:00-04:00,520.9,521.94,518.15,518.49,2329155.0,520.5119591506565
2025-04-04 11:15:00-04:00,519.81,522.59,519.81,520.86,1943107.0,520.445105898213
2025-04-04 11:20:00-04:00,521.3,521.91,519.63,519.83,1339439.0,520.5265243840975
2025-04-04 11:25:00-04:00,516.35,521.3,516.21,521.3,2696351.0,520.1287601570406
2025-04-04 11:30:00-04:00,516.36,517.88,515.78,516.4,1266392.0,519.7698306182748
2025-04-04 11:35:00-04:00,514.87,516.89,514.0,516.41,1549481.0,519.303180083201
2025-04-04 11:40:00-04:00,515.94,516.66,514.32,514.82,1119187.0,518.9828772181343
2025-04-04 11:45:00-04:00,517.75,518.17,514.84,515.95,1142428.0,518.8654603402167
2025-04-04 11:50:00-04:00,516.63,518.35,515.92,517.78,973236.0,518.6525593554342
2025-04-04 11:55:00-04:00,514.96,517.55,514.74,516.69,1009699.0,518.300887035869
2025-04-04 12:00:00-04:00,515.3,516.6,514.84,514.98,796892.0,518.0150882705482
2025-04-04 12:05:00-04:00,515.56,517.46,515.2,515.34,576740.0,517.7812703400198
